Iteration,Vx Vel,Vy Vel,Vz Vel,Pressure,Temp,TKE,TED,Scalar
1,7.55685e-06,2.06123e-05,1.37462e-05,5.90735e-07,40.0032,0.0001,1,0
2,4.98729e-06,1.47592e-05,1.23249e-05,6.45651e-07,40.0092,0.0001,1,0
3,3.87271e-06,1.35691e-05,2.00154e-05,5.9753e-07,40.0205,0.0001,1,0
4,8.07566e-06,1.26131e-05,4.63295e-05,5.21539e-07,40.0416,0.0001,1,0
5,2.23368e-05,1.832e-05,0.000108944,5.49517e-07,40.0824,0.0001,1,0
6,6.18686e-05,5.01527e-05,0.000299575,1.12983e-06,40.1549,0.0001,1,0
7,0.00016094,0.000141265,0.000817672,2.59615e-06,40.2735,0.0001,1,0
8,0.000393623,0.000375067,0.00209633,6.17477e-06,40.4524,0.0001,1,0
9,0.00091261,0.000943345,0.00499358,1.45299e-05,40.7115,0.0001,1,0
10,0.00215372,0.00223451,0.0108864,3.31979e-05,41.0689,0.0001,1,0
11,0.00489424,0.00491375,0.0215464,7.25061e-05,41.5586,0.0769089,0.973255,0
12,0.0104051,0.00994984,0.0394486,0.000158712,42.004,0.178807,0.950819,0
13,0.0184663,0.0187081,0.0717316,0.000309226,42.4314,0.32433,0.902927,0
14,0.0287563,0.0315558,0.110007,0.000517849,42.8528,0.523426,0.839344,0
15,0.0408089,0.0480453,0.155492,0.000779412,43.2728,0.78637,0.777536,0
16,0.0541867,0.0680125,0.20789,0.00108571,43.6913,1.11556,0.921097,0
17,0.0685082,0.0912299,0.265495,0.00142794,44.1057,1.50898,1.41867,0
18,0.0834686,0.117496,0.327726,0.00179804,44.5107,1.96514,2.08509,0
19,0.0988503,0.146718,0.394173,0.00219138,44.9,2.48164,3.0115,0
20,0.114502,0.178927,0.464534,0.0026075,45.2682,3.05538,4.29354,0
21,0.130289,0.214221,0.538456,0.0030493,45.6112,3.68255,5.87316,0
22,0.150596,0.261248,0.637667,0.00351902,45.9269,4.38137,7.82225,0
23,0.175905,0.321091,0.760972,0.00402292,46.2152,5.19824,10.2268,0
24,0.205912,0.394951,0.908489,0.00456534,46.4783,6.19177,13.198,0
25,0.240425,0.484252,1.0825,0.00514969,46.7198,7.33978,16.8676,0
26,0.279373,0.590539,1.29412,0.0057798,46.9443,8.66149,21.3835,0
27,0.322798,0.715488,1.53698,0.00646118,47.1569,10.1749,26.9086,0
28,0.439226,0.860969,1.81325,0.0072021,47.3625,11.8975,33.6211,0
29,0.61635,1.02908,2.41167,0.00801399,47.5653,13.8564,41.7171,0
30,0.839623,1.22219,3.39057,0.00891162,47.7694,16.1443,51.4136,0
31,1.11086,1.44289,4.61331,0.00991294,47.9781,18.7262,62.9526,0
32,1.42555,1.69394,6.08102,0.0110408,48.1949,21.6191,76.6054,0
33,1.76906,1.97816,7.78847,0.0123207,48.4235,24.8713,92.6759,0
34,2.1609,2.29822,9.72114,0.0137794,48.6681,28.5433,112.567,0
35,2.86434,3.06993,11.8543,0.0154544,48.9339,32.6628,137.74,0
36,4.40391,5.12414,14.8592,0.0173817,49.227,37.2765,167.871,0
37,6.33072,9.58851,18.2477,0.0196047,49.5552,42.4344,203.823,0
38,8.48469,15.2752,21.857,0.0221813,49.9281,48.1887,246.579,0
39,10.87,20.726,25.7938,0.0251767,50.3572,56.6729,297.242,0
40,13.654,25.5109,30.1617,0.028672,50.8563,75.3958,357.031,0
41,17.16,29.6998,35.0173,0.0327764,51.4414,93.5092,427.261,0
42,21.2404,33.4988,41.053,0.0375972,52.1303,117.156,509.301,0
43,25.9005,37.1003,48.0943,0.0432667,52.9427,149.261,645.189,0
44,31.109,41.234,55.9364,0.0499379,53.8991,183.662,954.208,0
45,36.8094,46.368,64.5176,0.057781,55.0206,249.496,1395.13,0
46,42.9376,51.75,73.8569,0.0669819,56.3265,337.442,2022.51,0
47,49.4074,57.4252,88.1056,0.0777365,57.8333,448.724,2913.31,0
48,56.1507,63.3759,104.518,0.0902306,59.5505,586.957,4175.67,0
49,63.0816,69.5717,122.193,0.104644,61.4765,755.608,5966.01,0
50,70.1394,75.9458,140.976,0.121089,63.5932,957.782,8573.77,0
51,77.2752,82.402,160.608,0.139619,65.8603,1195.79,12259.9,0
52,84.4705,88.6356,181.311,0.16012,68.2096,1468.77,22490.4,0
53,93.7613,96.8978,202.209,0.182399,70.5485,1777.56,38881.2,0
54,111.981,122.899,222.703,0.206002,72.7665,2120.01,60993.7,0
55,128.922,148.984,242.444,0.230309,74.7433,2491.3,89256.8,0
56,143.551,171.49,260.87,0.254498,76.3139,3069.79,125065,0
57,156.445,170.645,277.237,0.277523,77.3135,3756.45,172574,0
58,167.651,185.281,292.446,0.298239,77.867,4501.47,230724,0
59,177.341,197.731,303.287,0.315755,78.0831,5300.92,299745,0
60,185.01,207.509,311.454,0.329697,78.055,6138.87,379899,0
61,190.942,215.751,316.769,0.340087,77.8582,7005.74,470962,0
62,192.715,222.796,319.681,0.347254,77.5518,7892.1,572250,0
63,199.157,227.717,320.341,0.351614,77.1825,8788.11,682469,0
64,204.249,232.079,319.537,0.353681,76.7851,9658.52,800071,0
65,208.462,234.655,317.26,0.353933,76.3821,10492.9,922681,0
66,211.502,236.023,313.795,0.352849,75.9926,11292,1.04842e+06,0
67,214.037,235.908,310.266,0.350809,75.6289,12061.9,1.17576e+06,0
68,216.904,236.765,305.997,0.348164,75.2965,12802.7,1.30228e+06,0
69,219.038,240.078,301.918,0.345184,74.9938,13514.4,1.42613e+06,0
70,220.371,242.464,298.028,0.342066,74.7309,14196.6,1.5469e+06,0
71,222.432,244.564,294.833,0.33897,74.5019,14965.3,1.67698e+06,0
72,223.587,246.401,298.598,0.336003,74.3073,15929.8,1.84077e+06,0
73,223.978,247.23,301.866,0.333246,74.1389,16864.7,2.0043e+06,0
74,224.311,248.164,304.686,0.330726,74.002,17765.7,2.16623e+06,0
75,225.78,248.248,307.118,0.32885,73.8881,18630.3,2.32551e+06,0
76,224.61,247.751,309.23,0.327173,73.7967,19455.7,2.48107e+06,0
77,232.626,246.835,310.979,0.325578,73.7197,20237.5,2.63146e+06,0
78,225.224,245.121,312.296,0.324089,73.6635,20975.7,2.77618e+06,0
79,241.544,243.135,313.664,0.322724,73.6202,21390.2,2.85771e+06,0
80,226.296,241.085,314.806,0.321493,73.5891,21679.6,2.91511e+06,0
81,250.126,239.094,315.802,0.320397,73.5658,21928.1,2.96493e+06,0
82,227.843,236.86,316.567,0.319518,73.5538,22158.6,3.01156e+06,0
83,256.987,234.942,317.095,0.319006,73.5496,22374.3,3.0555e+06,0
84,229.893,232.675,317.543,0.318617,73.5567,22593.7,3.10049e+06,0
85,264.769,230.763,376.833,0.318366,73.563,22808.9,3.14484e+06,0
86,234.18,224.304,319.838,0.3182,73.5814,23025.5,3.18973e+06,0
87,268.864,219.367,318.675,0.318135,73.6018,23249.9,3.23648e+06,0
88,235.477,217.137,331.085,0.318154,73.6281,23476.9,3.28398e+06,0
89,274.794,214.865,319.425,0.318243,73.6508,23690.3,3.32884e+06,0
90,236.011,213.666,330.504,0.318385,73.682,23886.6,3.37027e+06,0
91,279.034,212.232,320.219,0.318575,73.7112,24072.4,3.40966e+06,0
92,235.997,211.469,337.081,0.318812,73.7444,24244.5,3.44626e+06,0
93,284.59,210.578,321.383,0.319093,73.7699,24401.5,3.47977e+06,0
94,235.911,210.253,340.85,0.319368,73.8043,24550.5,3.51167e+06,0
95,289.311,209.772,493.125,0.31967,73.8307,24696.2,3.54296e+06,0
96,237.277,209.19,415.522,0.319977,73.8624,24827.1,3.57115e+06,0
97,293.325,208.409,374.155,0.320308,73.8849,24957.9,3.5994e+06,0
98,239.414,208.276,359.94,0.320605,73.9124,25073.3,3.62439e+06,0
99,295.468,208.271,325.331,0.320916,73.9359,25178.8,3.64727e+06,0
100,242.89,208.65,518.991,0.321213,73.9603,25288.6,3.67116e+06,0
101,299.901,208.006,440.068,0.321491,73.9748,25388.2,3.69287e+06,0
102,245.927,207.503,392.272,0.321767,73.9927,25485.3,3.71406e+06,0
103,298.198,207.359,355.599,0.322014,74.0036,25586.4,3.73618e+06,0
104,247.538,207.133,371.073,0.322221,74.0166,25674.5,3.75549e+06,0
105,301.747,207.055,546.031,0.322419,74.0171,25762.7,3.77485e+06,0
106,248.958,206.825,454.03,0.322588,74.0223,25848.2,3.79366e+06,0
107,303.861,205.99,401.773,0.322715,74.0206,25923,3.81013e+06,0
108,246.784,206.255,361.712,0.322814,74.0206,25985.5,3.82392e+06,0
109,305.954,206.515,336.51,0.322888,74.0128,26047.5,3.83761e+06,0
110,246.045,207.174,556.253,0.322921,74.0045,26108.7,3.85115e+06,0
111,308.536,207.426,461.492,0.322926,73.9925,26164,3.86338e+06,0
112,248.371,207.552,405.896,0.322898,73.9813,26221.7,3.87616e+06,0
