Iteration,Vx Vel,Vy Vel,Vz Vel,Pressure,Temp,TKE,TED,Scalar
1,1.29E-05,2.46E-05,1.45E-05,4.21E-07,40.0025,0.0001,1,0
2,8.96E-06,1.39E-05,1.15E-05,4.42E-07,40.0073,0.0001,1,0
3,7.41E-06,1.27E-05,1.46E-05,4.01E-07,40.0166,0.0001,1,0
4,6.46E-06,1.18E-05,4.49E-05,3.51E-07,40.0339,0.0001,1,0
5,1.16E-05,1.40E-05,0.000137885,3.04E-07,40.0651,0.0001,1,0
6,3.07E-05,4.01E-05,0.000374303,5.38E-07,40.1199,0.0001,1,0
7,7.42E-05,0.000113848,0.000922776,1.24E-06,40.2062,0.0001,1,0
8,0.000168667,0.000303907,0.00212445,2.96E-06,40.3334,0.0001,1,0
9,0.000389153,0.000785765,0.00465644,7.02E-06,40.5184,0.0001,1,0
10,0.000919156,0.00196706,0.00977191,1.79E-05,40.7847,0.0001,1,0
11,0.00206233,0.00464038,0.021671,4.57E-05,41.1566,0.245988,0.984612,0
12,0.004256,0.010662,0.0442492,0.000107572,41.4952,0.589008,0.965193,0
13,0.00735944,0.0201539,0.0774033,0.000209365,41.8185,1.06982,0.923268,0
14,0.0111782,0.0329657,0.118903,0.000351968,42.1352,1.70492,0.864724,0
15,0.0155404,0.0488109,0.166767,0.000532607,42.449,2.49758,0.79977,0
16,0.0202996,0.0672964,0.21906,0.000746532,42.7603,3.44453,1.08475,0
17,0.0253314,0.0880465,0.274062,0.000987581,43.0667,4.53911,1.58319,0
18,0.0305422,0.110776,0.33054,0.00125042,43.3648,5.77204,2.20579,0
19,0.035874,0.135302,0.387959,0.0015325,43.6504,7.12908,2.95081,0
20,0.0412964,0.161607,0.446239,0.00183379,43.9198,8.5913,3.81447,0
21,0.0467664,0.189675,0.50517,0.00215644,44.1702,10.136,4.78949,0
22,0.0532008,0.22917,0.600123,0.00250837,44.4005,11.9351,6.04438,0
23,0.061391,0.280745,0.719751,0.00289111,44.6108,14.1053,7.72879,0
24,0.0712218,0.344158,0.860685,0.00330572,44.803,16.702,9.96173,0
25,0.0992736,0.419536,1.02163,0.00375387,44.9797,19.75,12.849,0
26,0.148899,0.507172,1.20218,0.00423805,45.1442,23.2645,16.4964,0
27,0.216848,0.607891,1.40263,0.00476229,45.2999,27.2626,21.0193,0
28,0.313626,0.759421,1.95902,0.00535959,45.4501,31.8379,26.7268,0
29,0.440577,0.892537,1.99198,0.00598274,45.5979,37.0531,33.9509,0
30,0.608034,1.08497,2.69029,0.00669457,45.7461,42.8878,42.6042,0
31,0.815372,1.29695,3.29954,0.00747915,45.8974,49.4191,53.1501,0
32,1.06115,1.53141,4.06964,0.00835054,46.0547,56.6817,65.9209,0
33,1.34005,1.79183,5.45982,0.00932594,46.221,64.6976,81.2157,0
34,1.6471,2.08086,7.01616,0.0104276,46.3999,73.4867,99.3631,0
35,2.29597,2.7347,8.72519,0.0116811,46.5955,83.067,120.737,0
36,3.3712,4.81623,10.6184,0.0131088,46.8123,93.4517,145.69,0
37,4.82702,7.95301,12.7485,0.0147417,47.0558,104.64,174.681,0
38,6.65942,11.9997,15.1713,0.0166153,47.332,116.617,208.197,0
39,8.82222,16.5799,17.9359,0.0187719,47.6475,129.335,246.679,0
40,11.2811,21.4319,21.3661,0.0212604,48.01,142.71,290.469,0
41,14.0272,26.4686,25.6524,0.0241371,48.4274,156.617,339.81,0
42,17.0677,31.7409,30.359,0.0274648,48.9082,172.299,394.759,0
43,20.5995,37.4625,35.4997,0.0313137,49.4608,228.16,455.182,0
44,24.4329,43.8234,41.5058,0.0357593,50.094,319.371,524.933,0
45,28.5236,50.6683,48.4489,0.0408812,50.8153,437.988,756.586,0
46,33.0004,58.1489,56.008,0.0467755,51.6311,578.956,1104.73,0
47,38.408,66.4233,64.1714,0.053519,52.5445,734.96,1613.43,0
48,44.0044,75.6997,72.9084,0.0611939,53.553,907.343,2343.15,0
49,49.7177,85.8732,82.191,0.0698622,54.6461,1089.9,3380.85,0
50,55.4445,97.1379,94.2863,0.0795388,55.8015,1299.73,4839.05,0
51,61.0285,109.301,107.065,0.0901793,56.9831,1546.12,6859,0
52,66.3143,121.869,120.218,0.101625,58.1389,1930.03,11877,0
53,71.3068,134.847,133.579,0.113733,59.2098,2376.52,19487.1,0
54,76.2209,147.659,146.92,0.126171,60.1356,2849.83,29446.6,0
